student_id,subject,marks,cgpa
1,Math,94,2.21
1,English,51,2.21
1,Science,91,2.21
1,History,54,2.21
2,Math,64,2.25
2,English,100,2.25
2,Science,86,2.25
2,History,76,2.25
3,Math,91,3.49
3,English,58,3.49
3,Science,80,3.49
3,History,74,3.49
4,Math,54,3.31
4,English,55,3.31
4,Science,85,3.31
4,History,59,3.31
5,Math,78,2.6
5,English,55,2.6
5,Science,78,2.6
5,History,71,2.6
6,Math,55,3.38
6,English,91,3.38
6,Science,54,3.38
6,History,78,3.38
7,Math,96,2.66
7,English,60,2.66
7,Science,82,2.66
7,History,55,2.66
8,Math,100,3.23
8,English,96,3.23
8,Science,78,3.23
8,History,89,3.23
9,Math,51,3.19
9,English,51,3.19
9,Science,81,3.19
9,History,51,3.19
10,Math,55,3.0
10,English,72,3.0
10,Science,52,3.0
10,History,83,3.0
11,Math,76,3.36
11,English,78,3.36
11,Science,67,3.36
11,History,84,3.36
12,Math,68,3.59
12,English,76,3.59
12,Science,78,3.59
12,History,65,3.59
13,Math,67,2.98
13,English,66,2.98
13,Science,90,2.98
13,History,57,2.98
14,Math,96,3.74
14,English,92,3.74
14,Science,57,3.74
14,History,63,3.74
15,Math,83,3.88
15,English,68,3.88
15,Science,81,3.88
15,History,70,3.88
16,Math,62,3.94
16,English,89,3.94
16,Science,76,3.94
16,History,92,3.94
17,Math,60,3.8
17,English,59,3.8
17,Science,66,3.8
17,History,87,3.8
18,Math,86,3.08
18,English,99,3.08
18,Science,79,3.08
18,History,68,3.08
19,Math,88,3.45
19,English,89,3.45
19,Science,75,3.45
19,History,62,3.45
20,Math,80,3.54
20,English,68,3.54
20,Science,69,3.54
20,History,88,3.54
21,Math,83,3.48
21,English,91,3.48
21,Science,50,3.48
21,History,54,3.48
22,Math,94,2.17
22,English,81,2.17
22,Science,51,2.17
22,History,54,2.17
23,Math,70,2.04
23,English,53,2.04
23,Science,66,2.04
23,History,95,2.04
24,Math,64,2.09
24,English,70,2.09
24,Science,77,2.09
24,History,87,2.09
25,Math,90,2.81
25,English,57,2.81
25,Science,68,2.81
25,History,61,2.81
26,Math,54,2.8
26,English,53,2.8
26,Science,57,2.8
26,History,87,2.8
27,Math,62,2.62
27,English,79,2.62
27,Science,63,2.62
27,History,78,2.62
28,Math,71,2.54
28,English,55,2.54
28,Science,72,2.54
28,History,55,2.54
29,Math,65,2.11
29,English,91,2.11
29,Science,78,2.11
29,History,93,2.11
30,Math,56,2.02
30,English,93,2.02
30,Science,82,2.02
30,History,76,2.02
31,Math,85,3.78
31,English,92,3.78
31,Science,58,3.78
31,History,82,3.78
32,Math,69,3.56
32,English,79,3.56
32,Science,93,3.56
32,History,55,3.56
33,Math,63,2.68
33,English,79,2.68
33,Science,87,2.68
33,History,99,2.68
34,Math,73,2.57
34,English,67,2.57
34,Science,56,2.57
34,History,88,2.57
35,Math,65,3.28
35,English,94,3.28
35,Science,70,3.28
35,History,50,3.28
36,Math,73,2.68
36,English,95,2.68
36,Science,97,2.68
36,History,73,2.68
37,Math,87,2.18
37,English,78,2.18
37,Science,87,2.18
37,History,59,2.18
38,Math,98,3.65
38,English,64,3.65
38,Science,74,3.65
38,History,73,3.65
39,Math,54,3.54
39,English,62,3.54
39,Science,56,3.54
39,History,53,3.54
40,Math,67,3.89
40,English,74,3.89
40,Science,68,3.89
40,History,52,3.89
41,Math,89,3.08
41,English,93,3.08
41,Science,86,3.08
41,History,53,3.08
42,Math,80,2.45
42,English,69,2.45
42,Science,86,2.45
42,History,97,2.45
43,Math,69,3.46
43,English,90,3.46
43,Science,67,3.46
43,History,81,3.46
44,Math,95,3.68
44,English,94,3.68
44,Science,93,3.68
44,History,64,3.68
45,Math,75,3.02
45,English,89,3.02
45,Science,64,3.02
45,History,81,3.02
46,Math,57,3.17
46,English,74,3.17
46,Science,90,3.17
46,History,89,3.17
47,Math,70,2.23
47,English,51,2.23
47,Science,55,2.23
47,History,95,2.23
48,Math,55,2.26
48,English,64,2.26
48,Science,60,2.26
48,History,95,2.26
49,Math,94,3.34
49,English,57,3.34
49,Science,62,3.34
49,History,75,3.34
50,Math,94,2.41
50,English,71,2.41
50,Science,65,2.41
50,History,62,2.41
51,Math,50,3.27
51,English,70,3.27
51,Science,70,3.27
51,History,97,3.27
52,Math,95,2.99
52,English,55,2.99
52,Science,81,2.99
52,History,100,2.99
53,Math,90,3.2
53,English,75,3.2
53,Science,85,3.2
53,History,88,3.2
54,Math,54,3.12
54,English,84,3.12
54,Science,58,3.12
54,History,75,3.12
55,Math,73,3.73
55,English,62,3.73
55,Science,62,3.73
55,History,76,3.73
56,Math,97,2.47
56,English,66,2.47
56,Science,86,2.47
56,History,88,2.47
57,Math,67,2.87
57,English,51,2.87
57,Science,91,2.87
57,History,82,2.87
58,Math,89,2.22
58,English,100,2.22
58,Science,85,2.22
58,History,55,2.22
59,Math,81,3.13
59,English,93,3.13
59,Science,83,3.13
59,History,93,3.13
60,Math,71,2.06
60,English,69,2.06
60,Science,64,2.06
60,History,87,2.06
61,Math,76,3.25
61,English,84,3.25
